clean,corrupted,clean_answer_idx,corrupted_answer_idx
"So Gary is a really nice person, isn't","So Amy is a really nice person, isn't",344,703
"So Mary is a really great friend, isn't","So Joe is a really great friend, isn't",703,344
"So Joe is such a funny person, isn't","So Amy is such a funny person, isn't",344,703
"So Jack is a really great friend, isn't","So Susan is a really great friend, isn't",344,703
"So Jack is such a good cook, isn't","So Mary is such a good cook, isn't",344,703
"So Karen is such a good cook, isn't","So David is such a good cook, isn't",703,344
"So Carl is a really nice person, isn't","So Judy is a really nice person, isn't",344,703
"So John is a very good athlete, isn't","So Karen is a very good athlete, isn't",344,703
"So Carol is such a funny person, isn't","So Sean is such a funny person, isn't",703,344
"So Ryan is such a good cook, isn't","So Sarah is such a good cook, isn't",344,703
"So Mark is such a good cook, isn't","So Lisa is such a good cook, isn't",344,703
"So Karen is a really nice person, isn't","So Carl is a really nice person, isn't",703,344
"So Carl is such a funny person, isn't","So Karen is such a funny person, isn't",344,703
"So Joe is a really nice person, isn't","So Carol is a really nice person, isn't",344,703
"So Mary is such a funny person, isn't","So John is such a funny person, isn't",703,344
"So Julie is a really nice person, isn't","So Mark is a really nice person, isn't",703,344
"So Julie is such a funny person, isn't","So John is such a funny person, isn't",703,344
"So Judy is a really great friend, isn't","So John is a really great friend, isn't",703,344
"So David is a really great friend, isn't","So Judy is a really great friend, isn't",344,703
"So Paul is such a funny person, isn't","So Mary is such a funny person, isn't",344,703
"So Susan is such a good cook, isn't","So Sean is such a good cook, isn't",703,344
"So Ryan is such a funny person, isn't","So Anna is such a funny person, isn't",344,703
"So Joe is a very good athlete, isn't","So Amy is a very good athlete, isn't",344,703
"So Ryan is a really great friend, isn't","So Julie is a really great friend, isn't",344,703
"So Carol is such a good cook, isn't","So Ryan is such a good cook, isn't",703,344
"So Amy is a really great friend, isn't","So John is a really great friend, isn't",703,344
"So Judy is such a funny person, isn't","So Paul is such a funny person, isn't",703,344
"So Susan is a very good athlete, isn't","So Ryan is a very good athlete, isn't",703,344
"So Mark is a really nice person, isn't","So Amy is a really nice person, isn't",344,703
"So David is such a funny person, isn't","So Amy is such a funny person, isn't",344,703
"So Carol is a very good athlete, isn't","So Carl is a very good athlete, isn't",703,344
"So Sean is such a good cook, isn't","So Susan is such a good cook, isn't",344,703
"So Lisa is a really great friend, isn't","So Ryan is a really great friend, isn't",703,344
"So Sean is a really great friend, isn't","So Mary is a really great friend, isn't",344,703
"So Ryan is a really nice person, isn't","So Susan is a really nice person, isn't",344,703
"So Mary is a very good athlete, isn't","So Joe is a very good athlete, isn't",703,344
"So John is a really great friend, isn't","So Amy is a really great friend, isn't",344,703
"So Carl is a really great friend, isn't","So Susan is a really great friend, isn't",344,703
"So Joe is such a good cook, isn't","So Sarah is such a good cook, isn't",344,703
"So Amy is such a funny person, isn't","So David is such a funny person, isn't",703,344
"So Amy is a really nice person, isn't","So Ryan is a really nice person, isn't",703,344
"So Sarah is a very good athlete, isn't","So Joe is a very good athlete, isn't",703,344
"So Gary is such a good cook, isn't","So Karen is such a good cook, isn't",344,703
"So Gary is a really great friend, isn't","So Amy is a really great friend, isn't",344,703
"So Anna is a really great friend, isn't","So Gary is a really great friend, isn't",703,344
